date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:28:01	843/843	---M-Z	200	added ('OK')	text/css	etag:%2234b-652d1485-34b7fe90a1b4ae28;gz%22	https://ppc5g.com/css/glide.core.min.css	C:/Users/Vishal/Desktop/pcc/ppc5g.com/css/glide.core.min.css	(from https://ppc5g.com/landing-page.php)
17:28:01	1321/1321	---M-Z	200	added ('OK')	text/css	etag:%22529-652d1485-78d79633557a7962;gz%22	https://ppc5g.com/css/glide.theme.min.css	C:/Users/Vishal/Desktop/pcc/ppc5g.com/css/glide.theme.min.css	(from https://ppc5g.com/landing-page.php)
17:28:01	78743/78743	---M-Z	200	added ('OK')	application/x-javascript	etag:%2213397-652a89a9-faf0c88cf4ac4073;gz%22	https://ppc5g.com/js/bootstrap.bundle.min.js	C:/Users/Vishal/Desktop/pcc/ppc5g.com/js/bootstrap.bundle.min.js	(from https://ppc5g.com/landing-page.php)
17:28:01	49374/49374	---M--	200	added ('OK')	image/webp	etag:%22c0de-652a8984-f84876598a835591;;;%22	https://ppc5g.com/images/topldgImg.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/topldgImg.webp	(from https://ppc5g.com/landing-page.php)
17:28:02	4029/4029	---M-Z	200	added ('OK')	application/x-javascript	etag:%22fbd-652cdaea-5d5b4b3dd6e29db4;gz%22	https://ppc5g.com/js/commonjs.js	C:/Users/Vishal/Desktop/pcc/ppc5g.com/js/commonjs.js	(from https://ppc5g.com/landing-page.php)
17:28:03	15809/15809	---M-Z	200	added ('OK')	image/svg+xml	etag:%223dc1-652a898f-b098315e2ff02b8f;gz%22	https://ppc5g.com/images/brand/elementor.svg	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/brand/elementor.svg	(from https://ppc5g.com/website-design.php)
17:28:03	789/789	---M-Z	200	added ('OK')	image/svg+xml	etag:%22315-652a898f-e100d166879c0cf;gz%22	https://ppc5g.com/images/brand/figma.svg	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/brand/figma.svg	(from https://ppc5g.com/website-design.php)
17:28:03	14814/14814	---M-Z	200	added ('OK')	image/svg+xml	etag:%2239de-652a898f-4fc080d2bc7a5d60;gz%22	https://ppc5g.com/images/brand/godaddy.svg	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/brand/godaddy.svg	(from https://ppc5g.com/website-design.php)
17:28:04	26443/26443	---M-Z	200	added ('OK')	image/svg+xml	etag:%22674b-652a898f-992c698fe69122be;gz%22	https://ppc5g.com/images/brand/mailchimp.svg	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/brand/mailchimp.svg	(from https://ppc5g.com/website-design.php)
17:28:06	1552/1552	---M-Z	200	added ('OK')	image/svg+xml	etag:%22610-652a898f-8c25a4228629a913;gz%22	https://ppc5g.com/images/brand/shopify.svg	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/brand/shopify.svg	(from https://ppc5g.com/website-design.php)
17:28:06	85155/85155	---M-Z	200	added ('OK')	image/svg+xml	etag:%2214ca3-652a898f-93149e531022f5b6;gz%22	https://ppc5g.com/images/brand/sitecore.svg	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/brand/sitecore.svg	(from https://ppc5g.com/website-design.php)
